City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Camacari,BR,-12.6975,-38.3242,82.17,74,10,6.31,moderate rain
244,Simao,CN,22.7886,100.9748,48.38,54,0,1.41,clear sky
245,Faya,SA,18.3851,42.4509,54.12,87,34,3.36,scattered clouds
246,Shihezi,CN,44.3,86.0333,8.37,96,100,3.71,overcast clouds
247,San Policarpo,PH,12.1791,125.5072,76.64,95,100,13.62,moderate rain
248,Provost,CA,52.3501,-110.2683,17.87,73,100,16.06,overcast clouds
249,Wattegama,LK,6.7989,81.4808,72.75,95,100,3.89,overcast clouds
250,Sawakin,SD,19.1059,37.3321,69.89,68,84,13.31,broken clouds
251,Dapaong,TG,10.8639,0.205,82.51,10,3,7.34,clear sky
252,Termoli,IT,41.9888,14.9895,46.58,74,89,7.72,overcast clouds
253,Necochea,AR,-38.5473,-58.7368,62.04,63,100,16.42,light rain
254,Joniskis,LT,56.2403,23.6153,32.92,87,100,10.09,overcast clouds
255,Udachnyy,RU,66.4167,112.4,-11.0,100,98,3.67,overcast clouds
256,Narayanpet,IN,16.7333,77.5,70.14,45,21,6.46,few clouds
257,Batagay-Alyta,RU,67.8006,130.4114,-19.68,88,99,4.36,overcast clouds
258,Provideniya,RU,64.3833,-173.3,-15.11,91,8,9.4,clear sky
259,Husavik,IS,66.0449,-17.3389,12.24,93,92,6.22,overcast clouds
260,Robertsport,LR,6.7533,-11.3686,79.88,86,8,9.4,clear sky
261,Sobolevo,RU,54.4299,31.8996,25.14,97,100,6.35,overcast clouds
262,Ossora,RU,59.2353,163.0719,-9.71,100,66,4.59,broken clouds
263,Qaanaaq,GL,77.484,-69.3632,-23.53,60,0,7.34,clear sky
264,Tabriz,IR,38.08,46.2919,33.26,75,75,4.61,broken clouds
265,Mareeba,AU,-17.0,145.4333,70.45,90,31,2.04,scattered clouds
266,Cap Malheureux,MU,-19.9842,57.6142,75.47,81,78,1.01,broken clouds
267,Sistranda,NO,63.7256,8.834,35.91,57,100,36.42,overcast clouds
268,Lavrentiya,RU,65.5833,-171.0,-25.33,94,25,7.2,scattered clouds
269,Klaksvik,FO,62.2266,-6.589,38.32,97,100,19.04,overcast clouds
270,Gazanjyk,TM,39.2446,55.5154,41.13,57,50,4.12,scattered clouds
271,Vallenar,CL,-28.5708,-70.7581,81.27,32,0,10.09,clear sky
272,Abu Dhabi,AE,24.4667,54.3667,68.02,77,0,3.44,clear sky
273,Big Rapids,US,43.6981,-85.4837,38.84,81,100,12.66,overcast clouds
274,Trat,TH,12.5,102.5,81.99,95,100,0.54,moderate rain
275,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,70,78,3.42,broken clouds
276,Kamen-Rybolov,RU,44.7481,132.0403,12.85,91,100,4.34,overcast clouds
277,Havoysund,NO,70.9963,24.6622,28.63,56,98,16.84,overcast clouds
278,Bathsheba,BB,13.2167,-59.5167,81.21,61,40,24.16,scattered clouds
279,Garowe,SO,8.4054,48.4845,66.33,73,48,14.76,scattered clouds
280,Arawa,PG,-6.2132,155.5367,77.56,91,100,2.75,light rain
281,Yining,CN,29.0361,114.5636,41.99,95,100,1.9,overcast clouds
282,Lorengau,PG,-2.0226,147.2712,81.99,77,100,9.55,overcast clouds
283,Northam,GB,51.0333,-4.2167,45.01,85,86,10.6,overcast clouds
